"","x","y"
"8_15",2128.71428571429,3863.28571428571
"8_16",2128,4107
"8_17",2127.125,4369
"8_18",2126.33333333333,4631.5
"8_19",2125.71428571429,4874.85714285714
"8_20",2125,5118.5
"8_21",2124.125,5380.75
"8_22",2123.33333333333,5643
"8_23",2122.71428571429,5886.71428571429
"8_24",2122,6130.16666666667
"8_25",2121.16666666667,6355
"8_26",2120.5,6617.25
"8_27",2119.83333333333,6879.5
"8_28",2119,7123.14285714286
"8_29",2118.16666666667,7366.5
"8_30",2117.5,7629
"8_31",2116.83333333333,7891.16666666667
"8_32",2116,8059.66666666667
"8_33",2115,8360
"8_9",2133,2439.66666666667
"9_10",2367.2,2627.6
"9_11",2376,2880.5
"9_12",2385.2,3133.4
"9_13",2374.75,3386.25
"9_14",2374,3611.25
"9_15",2363.4,3863.8
"9_16",2372.5,4117
"9_17",2381.4,4370
"9_18",2370.75,4622.75
"9_19",2360.4,4875.8
"9_20",2353,5119
"9_21",2378.4,5381.6
"9_22",2367.75,5634.25
"9_23",2367.25,5859.25
"9_24",2356.6,6112
"9_25",2365.5,6365
"9_26",2374.6,6618.2
"9_27",2364,6870.75
"9_28",2353.4,7123.8
"9_29",2362.5,7376.75
"9_30",2371.6,7629.6
"9_31",2361,7882.5
"9_32",2376.66666666667,8098
"9_9",2378,2375
