"","geneid","theta_Gau1","theta_Gau2","Gamma1","Gamma2","logLik11","logLik21","logLik10","logLik20","Diff","Pvalue","Adjust.Pvalue"
"5911","Shisa7",404.473618370726,684.576630889718,"1.36007832297205","3.17156736319821",242.166901578289,834.785589623585,231.488496999133,824.834580864449,41.258826676584,1.33348327722834e-10,2.91496901705388e-10
"5912","Isoc2b",201.968923999909,277.559116113797,"2.25474758049892","19.9999216078992",746.235250509991,917.439763470143,745.424290078703,916.057637930619,4.38617194162407,0.0362315757128911,0.045338905452391
"5913","Isoc2a",201.968923999909,277.559116113797,"2.28499388944819","19.9999372750479",899.968115857952,493.246730688741,899.470286701543,491.442347694763,4.60442430077399,0.0318895587106866,0.040152380404615
"5914","Zfp628",201.968923999909,294.746323225938,"3.05716825344525","3.68259625620187",830.865040958729,1482.25036793048,830.760805368718,1482.16640641685,0.376394207281919,0.539539341185315,0.592976028568441
"5915","Nat14",508.602462856624,277.559116113797,"1.40426275756496","0.649782695249593",202.002639151332,186.546543146031,193.25824634938,143.288883009392,104.004105877182,2.01897225659291e-24,6.99741310731872e-24
"5916","Ssc5d",555.485194144863,277.559116113797,"2.43667024558202","19.9999374047753",1344.06460684842,259.598524158432,1340.63191725692,138.638249962692,248.78592757448,4.77662276091588e-56,3.31310787920535e-55
"5917","Sbk3",2312.29735400061,1121.03041608403,"19.9999374655994","5.26013880492737",1405.22846339693,1064.80163329025,1404.87805573419,1064.71664922288,0.870783460220082,0.350738505036794,0.392768255038451
"5918","Zfp579",201.968923999909,292.514004314398,"19.9999216813877","2.76487370277518",578.721792793929,306.302846331981,574.791336013709,304.71803541619,11.0305353920219,0.000896232598728364,0.00130423796142701
"5919","Fiz1",201.968923999909,277.559116113797,"19.9999215642007","19.9999372428465",634.639155790399,846.408214266703,634.63915577295,846.408214269727,2.88500814349391e-08,0.999864476820804,1
"5920","Zfp524",201.968923999909,277.559116113797,"19.9999372655369","19.9999373089315",673.865175770656,1530.89266552135,673.865175760543,1530.89266553665,-1.0373696568422e-08,1,1
"5921","Zfp865",201.968923999909,277.559116113797,"19.9999373789066","19.9999373291225",500.439642893323,261.404360919175,500.43964262909,261.404361030401,3.06014158013568e-07,0.999558621881213,1
"5922","Ccdc106",376.045734467494,277.559116113797,"1.73824452868159","19.9999373219164",343.579714402187,1240.96109082524,322.724441855036,1231.20080509987,61.2311165450419,5.07530186717164e-15,1.31269207333472e-14
"5923","Zfp784",201.968923999909,277.559116113797,"19.9998166319285","19.9999373394751",1013.90325300996,504.670245063887,1013.90325298257,504.670245119365,-5.61759634365444e-08,1,1
"5924","Gm15510",937.511904863468,436.260304878559,"4.16332650873333","1.39948297003089",1005.25417347238,707.064294754526,993.911557039714,691.332666105362,54.1484901636602,1.85896663591448e-13,4.55823435247051e-13
"5925","Zfp580",621.947113228758,1106.36788220816,"3.29291690333021","3.8278079859545",343.829846410737,1082.94757847391,341.343602019475,1082.81482686566,5.23799199902396,0.0220987667074801,0.0283152950201549
"5926","U2af2",242.739971789263,331.665099850534,"1.5183205724314","-0.0937933474434808",303.579060674101,683.447539283941,248.57205977024,606.493683050414,263.921714274776,2.39717742210304e-59,1.78108860129691e-58
"5927","Epn1",546.991491258199,277.559116113797,"0.634122919329728","19.9999373882136",162.754215524889,0.951752134177696,79.9044515803998,-299.110531735539,765.824095628412,1.45452393861198e-168,5.40598063850787e-167
"5928","Zfp787",201.968923999909,277.559116113797,"19.9980682573177","3.28215708572588",534.051947630993,369.789544995654,533.190489826434,369.245723243353,2.81055911372016,0.0936457326442632,0.111763847633135
"5929","Gm36371",201.968923999909,277.559116113797,"19.9999373610436","2.61016362669335",1280.51520910568,366.945562584405,1277.04909769601,364.174074337323,12.475199313504,0.000412390650461993,0.000616352129899998
"5930","Zfp444",201.968923999909,517.215529599664,"19.9999373650486","3.41672452372231",460.749981047803,284.05945696093,448.532560705642,281.437044882259,29.6796648416639,5.0966672551014e-08,9.79790343006562e-08
"5931","Zfp667",367.10257981868,537.467718309344,"2.99527442811482","0.11697245315581",716.984539413026,141.551050513616,646.174168368268,-30.3566844164588,485.436211949666,1.40232865014994e-107,2.27829422113681e-106
"5932","Zfp583",1311.74814733221,277.413780750518,"19.9984940022506","3.04968200177779",927.889523119527,642.43298760592,926.952647944824,641.959832732632,2.82006009598217,0.093092917881762,0.111152971262814
"5933","Gm38944",1441.6220749737,277.559116113797,"19.999957538253","0.408996246904321",1096.4242072905,268.499654699199,1057.5858587045,171.840344060345,270.995318449708,6.88629124932528e-61,5.29709579547591e-60
"5934","Gm3854",201.968923999909,277.559116113797,"2.59177174348213","19.9999373566108",1005.4373916371,542.527334109277,1005.0474819317,539.72609483299,6.38229796337419,0.0115264098902743,0.0151614759699237
"5935","Zfp78",1874.20491985025,277.559116113797,"19.9999365617652","4.36603311407148",1005.36315030131,763.872130666648,1005.37094735237,763.840283255509,0.0481007201581178,0.826401746289846,0.894124287375542
"5936","Zfp28",455.838211236483,277.559116113797,"3.84665058629161","2.99930584093161",871.409888704701,607.408250739911,870.986260294967,606.943327505575,1.77710328813987,0.182505428638092,0.210934034277564
"5937","Smim17",374.604446952115,512.618749923552,"1.57949511243948","19.9999371208803",671.102346951607,671.918288518104,656.130254808726,659.946005735983,53.8887498500042,2.1216908866936e-13,5.1883740340221e-13
"5938","Olfr1344",2008.78870518018,277.559116113797,"19.9999369059761","3.34870474807788",1392.21489903663,86.0492653974669,1390.75157265763,85.1459439356522,4.73329568162902,0.0295841458505722,0.0373681184281086
"5939","Zim1",983.642565999921,277.559116113797,"2.267578920288","3.38613044915962",1099.2040039794,521.590329325069,1091.01792292572,467.853177630423,123.846465496652,9.10209516225045e-29,3.51954886333195e-28
"5940","Peg3",419.532627933495,877.778793246829,"1.14516597016161","1.29227424254288",154.309252869785,943.534480723612,110.088948408228,929.83428777457,115.840994821198,5.14973773563918e-27,1.90832188933463e-26
"5941","Usp29",307.481913606287,409.6514888151,"1.28461719378963","0.655377245206383",463.627365162149,238.422407536936,444.380129263303,213.156173400032,89.0269400715,3.89472362550604e-21,1.22872492053513e-20
"5942","Zfp954",201.968923999909,277.388827603673,"19.9998963239942","19.9999374087774",711.495347352575,-432.561893770391,711.495347338996,-432.561893423863,-6.65898028273659e-07,1,1
"5943","Zfp773",201.968923999909,277.559116113797,"19.999937320739","1.27068109715409",1158.07466636092,897.140320258746,1142.98705559715,891.012918707532,42.4300246299681,7.32567804916825e-11,1.62074902096235e-10
"5944","Zfp418",603.936109854694,277.559116113797,"7.51625116568417","19.9999373181312",1163.62559089259,534.932250732894,1163.62526967343,534.810618712931,0.243906478245663,0.621398778377497,0.67913734227642
"5945","Zfp772",201.968923999909,370.835590637141,"2.33025219190513","6.97154800251012",762.815507482368,502.157597025504,762.196298208599,500.936517472324,3.6805776538979,0.0550497747819843,0.0674714112088482
"5946","Clcn4",506.344169859071,882.129749307345,"1.37530348545264","4.65170875918084",202.886565752221,605.160471421254,179.493378783132,587.616158524307,81.874999732072,1.44971530847045e-19,4.37278404791374e-19
"5947","Zik1",201.968923999909,331.840143656262,"1.42285864291432","1.14352961909633",705.728969304892,209.143726160763,697.425555266733,197.307681545758,40.2789173063279,2.20172162927443e-10,4.75229732205761e-10
"5948","Zfp606",824.320230267453,305.896658432238,"5.56106263182392","1.02126915476412",765.384802554914,557.819433147679,751.124873368444,535.995942939284,72.16683878973,1.97751070622906e-17,5.57242457793022e-17
"5949","Zscan18",255.881206351405,646.964130174817,"2.51132143245022","3.62806849880342",614.983676909923,883.356445572711,613.867900015075,882.546905758109,3.85063341889986,0.0497272076241563,0.0612383094722476
"5950","Zfp329",201.968923999909,277.559116113797,"19.9998322120846","19.9999373151849",700.793354311586,503.91443061066,700.793354291039,503.914430648585,-3.47559989677393e-08,1,1
"5951","Zfp110",412.154149977429,535.599615177739,"2.33793226579015","1.30343366143284",650.624500982896,669.194287620057,641.221870307326,650.207245771777,56.7793450477004,4.87560643548166e-14,1.22032590964339e-13
"5952","Zfp128",201.968923999909,426.534616885942,"3.78914475899987","1.59588703711367",970.828161656217,241.437107253102,962.875332126544,180.515144221479,137.749585122592,8.26713534412551e-32,3.4525576261421e-31
"5953","Zscan22",201.968923999909,277.566983650797,"19.998984441903","19.9999373390167",824.368805728784,611.463452467765,824.368805713724,611.463452498911,-3.21720108331647e-08,1,1
"5954","Rps5",524.354348766711,2186.60273504006,"0.442246697460586","5.44851901443558",223.511643814459,1598.12164459432,141.340892897078,1563.22349177196,234.137807479482,7.46431441325522e-53,4.86046297333527e-52
"5955","Rnf225",201.968923999909,616.954196312927,"0.966810020086087","3.74171562209575",1439.6002974052,999.081021624654,1433.62535131501,988.495003666381,33.121928096926,8.65570348117497e-09,1.72954703535102e-08
"5956","Zfp324",246.878309580942,433.194805962722,"3.87404929863209","0.863998684247326",899.77869015136,197.052725513191,878.771654382817,91.1081947050442,253.90313315338,3.66055762997621e-57,2.59087902862533e-56
"5957","Zfp446",474.889931648155,435.798300765699,"2.56012426124983","0.417843398571972",786.462179679399,168.726528532597,764.401336729716,127.648049038269,126.278644888022,2.67203515833817e-29,1.04839865853427e-28
"5958","Slc27a5",201.968923999909,277.559116113797,"19.9999373377876","19.9999373500988",1700.02018573317,435.028264475389,1700.02018570966,435.028264595227,-1.92656330000318e-07,1,1
"5959","Trim28",584.744477521121,529.876560404886,"2.56596961779531","2.97633868096956",302.088956954679,644.12821287972,301.428397845177,643.302533003007,2.97247797242972,0.0846920344517539,0.101666663877303
