"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Klc2",3,"DE_by_Domain",TRUE,FALSE,4.08705446056313e-60
"Pmm1",2,"DE_by_Domain",TRUE,FALSE,5.41264835426049e-60
"Gm10419",3,"DE_by_Domain",TRUE,FALSE,1.17554135391684e-59
"Polr2j",3,"DE_by_Domain",TRUE,FALSE,1.42988213567882e-59
"Igsf8",2,"DE_by_Domain",TRUE,FALSE,1.64315817961065e-59
"Ppp1r3a",7,"DE_by_Domain",TRUE,FALSE,6.48037028980018e-59
"Sh3gl2",3,"DE_by_Domain",TRUE,FALSE,1.14926339800491e-58
"Lmbrd1",2,"DE_by_Domain",TRUE,FALSE,1.66842411668097e-58
"Mapk8",2,"DE_by_Domain",TRUE,FALSE,1.73204868126335e-58
"Zcrb1",3,"DE_by_Domain",TRUE,FALSE,2.52657231976269e-58
"Slc25a23",2,"DE_by_Domain",TRUE,FALSE,7.16149515674621e-58
"Pdzd2",6,"DE_by_Domain",TRUE,FALSE,8.25969880087773e-58
"Ndufs4",2,"DE_by_Domain",TRUE,FALSE,5.88451125188566e-57
"Sae1",3,"DE_by_Domain",TRUE,FALSE,1.03365480476434e-56
"Dnajb4",3,"DE_by_Domain",TRUE,FALSE,1.13130898574442e-56
"Gps1",2,"DE_by_Domain",TRUE,FALSE,2.31183770414276e-56
"Prpf8",3,"DE_by_Domain",TRUE,FALSE,3.56311040249384e-56
"Gpsm1",3,"DE_by_Domain",TRUE,FALSE,6.47472031768563e-56
"Srp9",2,"DE_by_Domain",TRUE,FALSE,7.10430244121482e-56
"Hacd3",3,"DE_by_Domain",TRUE,FALSE,1.08972581836648e-55
"Ubtf",3,"DE_by_Domain",TRUE,FALSE,1.29822138123489e-55
"Extl3",2,"DE_by_Domain",TRUE,FALSE,1.36795733560903e-55
"Psd2",4,"DE_by_Domain",TRUE,FALSE,1.50969881678351e-55
"Ndufaf3",3,"DE_by_Domain",TRUE,FALSE,2.48815716656716e-55
"Ube2r2",3,"DE_by_Domain",TRUE,FALSE,3.38916211695111e-55
"Mrpl3",3,"DE_by_Domain",TRUE,FALSE,4.23736948896546e-55
"Acap3",3,"DE_by_Domain",TRUE,FALSE,6.03865750767141e-55
"Mrpl54",3,"DE_by_Domain",TRUE,FALSE,8.23671736150517e-55
"Srsf3",3,"DE_by_Domain",TRUE,FALSE,1.04179044165731e-54
"Acox1",3,"DE_by_Domain",TRUE,FALSE,1.20561477451393e-54
"Car12",4,"DE_by_Domain",TRUE,FALSE,1.50014724662916e-54
"Pik3cd",7,"DE_by_Domain",TRUE,FALSE,1.71033949543992e-54
"Mchr1",8,"DE_by_Domain",TRUE,FALSE,3.08118351708497e-54
