"","x","y"
"23_32",5856.5,8124.5
"23_33",5855.75,8349.25
"23_8",5827,2197
"23_9",5885.2,2365.6
"24_10",6119.16666666667,2609.83333333333
"24_11",6118.125,2872
"24_12",6117.33333333333,3134.16666666667
"24_13",6116.71428571429,3377.71428571429
"24_14",6115.66666666667,3621.16666666667
"24_15",6114.875,3883.375
"24_16",6114,4145.5
"24_17",6113.33333333333,4370.33333333333
"24_18",6112.42857142857,4613.71428571429
"24_19",6111.66666666667,4857.16666666667
"24_20",6110.875,5119.375
"24_21",6109.83333333333,5381.5
"24_22",6109.14285714286,5625.14285714286
"24_23",6075.66666666667,5831
"24_24",6009.66666666667,6130.33333333333
"24_26",6106,6636
"24_27",6039.66666666667,6898.66666666667
"24_28",6104.16666666667,7104.5
"24_29",6103.375,7367
"24_30",6122,7614
"24_31",6101.71428571429,7872.57142857143
"24_32",6100.83333333333,8116
"24_33",6086,8394
"24_34",6099,8547
"24_8",6121,2142
"24_9",6100.2,2400
"25_10",6363.5,2620
"25_11",6372.6,2872.8
"25_12",6361.75,3125.75
"25_13",6351.2,3378.4
"25_14",6360,3631.25
"25_15",6369.2,3884.2
"25_16",6358.25,4137
"25_17",6357.75,4361.75
"25_18",6347.2,4614.6
"25_19",6356,4867.25
"25_20",6364.8,5120.2
"25_21",6354.25,5373
"25_22",6343.8,5625.8
"25_23",6401.5,5878.75
"25_24",6439.8,6131.8
"25_25",6498,6357
"25_26",6399,6694
"25_28",6372.75,7157.25
"25_29",6396.71428571429,7367.71428571429
"25_30",6395.66666666667,7611.33333333333
"25_31",6395,7873.5
"25_32",6394,8132
"25_33",6409.66666666667,8370
"25_34",6417,8589.75
"25_9",6315,2479
"26_10",6607.83333333333,2630
"26_11",6607,2873.5
"26_12",6606.16666666667,3117
"26_13",6605.5,3379.25
"26_14",6604.33333333333,3641.5
"26_15",6603.71428571429,3884.85714285714
"26_16",6603,4128.5
"26_17",6602.16666666667,4353.16666666667
"26_18",6601.25,4615.375
"26_19",6600.33333333333,4877.5
"26_20",6599.71428571429,5121.14285714286
"26_21",6598.66666666667,5364.5
"26_22",6598,5626.75
"26_23",6646,5879.75
"26_24",6635.4,6132.6
"26_25",6644,6385.25
"26_26",6692.5,6582
"26_27",6691.5,6863
"26_28",6658,7144
"26_29",6631.4,7368.6
"26_30",6640,7621.5
"26_31",6649.2,7874.2
"26_32",6638.5,8127.25
"26_33",6627.8,8379.8
"26_34",6637,8633
"26_9",6511,2480
"27_10",6881.6,2627.4
"27_11",6900.375,2874.625
"27_12",6899.33333333333,3136.83333333333
"27_13",6898.71428571429,3380.28571428571
"27_14",6897.83333333333,3623.5
"27_15",6897,3886
"27_16",6896,4148
"27_17",6895.33333333333,4372.83333333333
"27_18",6875,4627.6
"27_19",6893.66666666667,4859.83333333333
"27_20",6892.875,5122
"27_21",6892,5384.16666666667
"27_22",6891.28571428571,5627.71428571429
"27_23",6890.33333333333,5871.16666666667
"27_24",6889.5,6133.375
"27_25",6888.83333333333,6395.5
"27_26",6887.83333333333,6620.5
"27_27",6887.14285714286,6863.71428571429
"27_28",6905.8,7099.8
"27_29",6885.5,7369.375
"27_30",6884.66666666667,7631.5
"27_31",6883.71428571429,7875.14285714286
"27_32",6883,8118.5
"27_33",6868.14285714286,8364.71428571429
"27_34",6881.33333333333,8643
"28_10",7145,2679
"28_11",7154.6,2875.4
"28_12",7144,3128.25
"28_13",7159.33333333333,3418.33333333333
"28_14",7142,3634
"28_15",7151.2,3886.8
"28_16",7140.75,4139.5
"28_17",7139.75,4364.25
"28_18",7129.2,4617
"28_19",7138,4870
"28_20",7137.5,5122.75
"28_21",7136.25,5375.75
"28_22",7125.8,5628.4
"28_23",7135,5881.25
"28_24",7143.6,6134.2
"28_25",7133,6387
"28_26",7132.25,6611.75
"28_27",7121.8,6864.6
"28_28",7130.75,7117.5
"28_29",7139.6,7370.2
"28_30",7129,7623.25
"28_31",7118.4,7875.8
"28_32",7127.25,8128.75
"28_33",7136.2,8381.6
"28_34",7109.33333333333,8643.66666666667
"28_7",7001,1976
"29_10",7389.5,2707.5
"29_11",7389.28571428571,2876.28571428571
"29_12",7388.16666666667,3119.5
"29_13",7387.5,3382
"29_14",7386.66666666667,3644
"29_15",7385.83333333333,3868.83333333333
"29_16",7365.4,4101
"29_17",7384.16666666667,4355.83333333333
"29_18",7383.5,4618
"29_19",7382.33333333333,4880.16666666667
"29_20",7381.71428571429,5123.57142857143
"29_21",7381,5367.16666666667
"29_22",7380,5629.25
"29_23",7379.16666666667,5891.5
"29_24",7378.28571428571,6134.85714285714
"29_25",7377.66666666667,6378.5
"29_26",7376.66666666667,6603.16666666667
"29_27",7376,6865.375
"29_28",7375,7146.25
"29_29",7374.28571428571,7371.14285714286
"29_30",7373.5,7614.5
"29_31",7372.5,7876.75
"29_32",7371.83333333333,8139
"29_33",7370.85714285714,8382.42857142857
"29_9",7293,2258
"30_11",7623.8,2876.8
"30_12",7633,3130
"30_13",7641.6,3382.6
"30_14",7631,3635.5
"30_15",7614,3869.66666666667
"30_16",7619.8,4113
"30_17",7628.5,4366
"30_18",7637.6,4618.8
"30_19",7627,4871.75
"30_20",7616.4,5124.4
"30_21",7625,5377.25
"30_22",7634.2,5630.2
"30_23",7623.75,5882.75
"30_24",7612.8,6135.8
