"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Lrrc25",NA,"LRT_results",FALSE,TRUE,4.772971443972e-98
"Bend4",NA,"LRT_results",FALSE,TRUE,2.57441443885468e-97
"Ctnna3",NA,"LRT_results",FALSE,TRUE,2.88406933726754e-97
"Gm5165",NA,"LRT_results",FALSE,TRUE,3.06370403074093e-97
"4833415N18Rik",8,"DE_by_Domain",TRUE,FALSE,3.37627367742151e-97
"Fkbp9",NA,"LRT_results",FALSE,TRUE,3.93043802517582e-97
"Sod1",3,"DE_by_Domain",TRUE,FALSE,5.1348885588903e-97
"Col19a1",NA,"LRT_results",FALSE,TRUE,5.59037901383478e-97
"Acap3",2,"DE_by_Domain",TRUE,FALSE,1.16826866000732e-96
"Tmem191c",3,"DE_by_Domain",TRUE,FALSE,1.23777497063526e-96
"Pmm1",3,"DE_by_Domain",TRUE,FALSE,5.08237917472954e-96
"Eps8l1",NA,"LRT_results",FALSE,TRUE,9.43821734958166e-96
"Igsf8",3,"DE_by_Domain",TRUE,FALSE,1.63918910045868e-95
"Ccm2l",NA,"LRT_results",FALSE,TRUE,5.18399739327603e-95
"Cltb",3,"DE_by_Domain",TRUE,FALSE,6.7198267701738e-95
"Mfng",NA,"LRT_results",FALSE,TRUE,8.72217975780482e-95
"Wbp2",2,"DE_by_Domain",TRUE,FALSE,1.01784974047212e-94
"Il1rapl2",NA,"LRT_results",FALSE,TRUE,1.86302865428609e-94
"Lipc",NA,"LRT_results",FALSE,TRUE,2.72079867576422e-94
"Il6st",NA,"LRT_results",FALSE,TRUE,3.55970654271128e-94
"Smc2os",NA,"LRT_results",FALSE,TRUE,5.75235348752377e-94
"Samd11",NA,"LRT_results",FALSE,TRUE,9.0829788606377e-94
"Pigg",NA,"LRT_results",FALSE,TRUE,2.31270073012566e-93
"Gm16835",NA,"LRT_results",FALSE,TRUE,3.15287473024469e-93
"Ggnbp1",NA,"LRT_results",FALSE,TRUE,3.62368513197228e-93
"Rabl3",NA,"LRT_results",FALSE,TRUE,1.13710252209011e-92
"Naa38",3,"DE_by_Domain",TRUE,FALSE,1.65282176280566e-92
"Six5",NA,"LRT_results",FALSE,TRUE,2.29804385962776e-92
"Popdc2",NA,"LRT_results",FALSE,TRUE,2.45877625525841e-92
"Ush1g",NA,"LRT_results",FALSE,TRUE,2.8236296062942e-92
"Myo10",NA,"LRT_results",FALSE,TRUE,3.95046209274531e-92
"Sult1c1",NA,"LRT_results",FALSE,TRUE,5.69499113179438e-92
"Ndufs4",3,"DE_by_Domain",TRUE,FALSE,7.94984100903264e-92
"Gm4219",NA,"LRT_results",FALSE,TRUE,8.9585650836646e-92
"Eif3k",3,"DE_by_Domain",TRUE,FALSE,1.49797128109488e-91
"Haglr",NA,"LRT_results",FALSE,TRUE,2.4623859525097e-91
"Gm49785",NA,"LRT_results",FALSE,TRUE,4.99400572555596e-91
"Adcyap1",2,"DE_by_Domain",TRUE,FALSE,8.95841549773624e-91
"Sowahb",2,"DE_by_Domain",TRUE,FALSE,1.43437491477015e-90
"Uba1",3,"DE_by_Domain",TRUE,FALSE,3.18907042118849e-90
"D17H6S53E",NA,"LRT_results",FALSE,TRUE,6.64952910983697e-90
"Baiap2l1",NA,"LRT_results",FALSE,TRUE,1.03579229702832e-89
"Maff",NA,"LRT_results",FALSE,TRUE,1.29762369500026e-89
