"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Aldh1l2",NA,"LRT_results",FALSE,TRUE,1.10714977501041e-85
"Cd180",NA,"LRT_results",FALSE,TRUE,1.83165968077439e-85
"Gm29629",NA,"LRT_results",FALSE,TRUE,5.87077507220507e-85
"Gm8369",NA,"LRT_results",FALSE,TRUE,1.44241405407565e-84
"Mgmt",NA,"LRT_results",FALSE,TRUE,2.80819804723652e-84
"Setdb2",NA,"LRT_results",FALSE,TRUE,3.46481152160986e-84
"Mapk15",NA,"LRT_results",FALSE,TRUE,9.51346358090199e-84
"Cldn1",NA,"LRT_results",FALSE,TRUE,9.6308425485715e-84
"Med18",NA,"LRT_results",FALSE,TRUE,3.30608621689051e-83
"C230014O12Rik",NA,"LRT_results",FALSE,TRUE,3.72630570382908e-83
"Ccdc36",NA,"LRT_results",FALSE,TRUE,8.55236849296892e-83
"Prickle4",NA,"LRT_results",FALSE,TRUE,1.00455091715011e-82
"Nup43",NA,"LRT_results",FALSE,TRUE,1.26826190143242e-82
"Gm48768",NA,"LRT_results",FALSE,TRUE,1.37800264495589e-82
"Snhg10",NA,"LRT_results",FALSE,TRUE,6.13079047037045e-82
"Tgif2",NA,"LRT_results",FALSE,TRUE,6.56217468696554e-82
"Scarf2",NA,"LRT_results",FALSE,TRUE,7.99965791570514e-82
"Syn3",NA,"LRT_results",FALSE,TRUE,8.71704490033871e-82
"Sult6b2",NA,"LRT_results",FALSE,TRUE,8.761462659136e-82
"Dlec1",NA,"LRT_results",FALSE,TRUE,1.18539698989895e-81
"Frem1",NA,"LRT_results",FALSE,TRUE,1.22109338599491e-81
"Tmem28",NA,"LRT_results",FALSE,TRUE,1.33240920847547e-81
"Asf1a",NA,"LRT_results",FALSE,TRUE,1.77898595578433e-81
"Hbp1",NA,"LRT_results",FALSE,TRUE,4.02612540555396e-81
"Ttc21a",NA,"LRT_results",FALSE,TRUE,4.37025644634979e-80
"Clec10a",NA,"LRT_results",FALSE,TRUE,5.1744512518646e-80
"Rpusd3",NA,"LRT_results",FALSE,TRUE,7.99876699246905e-80
"2810429I04Rik",NA,"LRT_results",FALSE,TRUE,9.00534798445598e-80
"Gdpgp1",NA,"LRT_results",FALSE,TRUE,1.48122292141741e-79
"Hydin",NA,"LRT_results",FALSE,TRUE,1.54329363629635e-79
"Il1r2",NA,"LRT_results",FALSE,TRUE,2.2146310411578e-79
"Gm35315",NA,"LRT_results",FALSE,TRUE,2.80765951170321e-79
"Poln",NA,"LRT_results",FALSE,TRUE,3.45637636801875e-79
"Alg8",NA,"LRT_results",FALSE,TRUE,4.05570819525042e-79
"mt-Atp6",NA,"LRT_results",FALSE,TRUE,4.18611760973339e-79
"Gm19409",NA,"LRT_results",FALSE,TRUE,8.94849228716185e-79
"Nemp2",NA,"LRT_results",FALSE,TRUE,1.9305760833212e-78
"Ascl1",NA,"LRT_results",FALSE,TRUE,1.83019594121096e-77
"Sp1",NA,"LRT_results",FALSE,TRUE,3.54477589721844e-77
"Gm49312",NA,"LRT_results",FALSE,TRUE,4.3158359043097e-77
"Prorp",NA,"LRT_results",FALSE,TRUE,4.886300816668e-77
"Inca1",NA,"LRT_results",FALSE,TRUE,7.62275960267314e-77
"Plscr4",NA,"LRT_results",FALSE,TRUE,9.83093408983418e-77
"Gins4",NA,"LRT_results",FALSE,TRUE,2.80988565717931e-76
"Gm6169",NA,"LRT_results",FALSE,TRUE,3.27168904404818e-76
"Saa2",NA,"LRT_results",FALSE,TRUE,7.72194243901957e-76
"Serpinb6a",NA,"LRT_results",FALSE,TRUE,1.11106131917583e-75
"mt-Co3",NA,"LRT_results",FALSE,TRUE,1.54512386234303e-75
"9130017K11Rik",NA,"LRT_results",FALSE,TRUE,1.88043396020018e-75
"Nfkb1",NA,"LRT_results",FALSE,TRUE,2.57102660234678e-75
"Cyp4f13",NA,"LRT_results",FALSE,TRUE,7.51871981170417e-75
"Tmem52",NA,"LRT_results",FALSE,TRUE,9.03103899239257e-75
"C330011M18Rik",NA,"LRT_results",FALSE,TRUE,2.66770937686471e-74
"Zfp518b",NA,"LRT_results",FALSE,TRUE,2.89015279710299e-74
"Aldob",NA,"LRT_results",FALSE,TRUE,3.71354460349583e-74
"Snai1",NA,"LRT_results",FALSE,TRUE,3.99759918164938e-74
"Gm5532",NA,"LRT_results",FALSE,TRUE,2.15299853233238e-73
"Cldn14",NA,"LRT_results",FALSE,TRUE,3.29196350158905e-73
"2610318N02Rik",NA,"LRT_results",FALSE,TRUE,5.90871720755258e-73
"Zfp146",NA,"LRT_results",FALSE,TRUE,8.98572941368851e-73
"Rab20",NA,"LRT_results",FALSE,TRUE,1.14230079949683e-72
"Gm4814",NA,"LRT_results",FALSE,TRUE,3.30987534893284e-72
"Zfp830",NA,"LRT_results",FALSE,TRUE,7.27688684106646e-72
"Gimap1",NA,"LRT_results",FALSE,TRUE,1.85164091555962e-71
"Ehd1",NA,"LRT_results",FALSE,TRUE,2.60436005900103e-71
"Gm20109",NA,"LRT_results",FALSE,TRUE,4.35250857320051e-71
"Mogat1",NA,"LRT_results",FALSE,TRUE,1.19308789014174e-70
"Tsen54",NA,"LRT_results",FALSE,TRUE,7.0900610816233e-70
"Gstm2",NA,"LRT_results",FALSE,TRUE,7.83382762146086e-70
"Gm16098",NA,"LRT_results",FALSE,TRUE,1.50397188900478e-69
"Vmac",NA,"LRT_results",FALSE,TRUE,1.76790039817196e-69
"1700003M07Rik",NA,"LRT_results",FALSE,TRUE,6.45233663709798e-69
"Atp13a5",NA,"LRT_results",FALSE,TRUE,1.31013108799362e-68
"Gm26684",NA,"LRT_results",FALSE,TRUE,2.86366960377786e-68
"Katna1",NA,"LRT_results",FALSE,TRUE,3.26550345868537e-68
"Gm36560",NA,"LRT_results",FALSE,TRUE,3.64445420258196e-68
"Gbp2",NA,"LRT_results",FALSE,TRUE,4.55901852620821e-68
"Ripor3",NA,"LRT_results",FALSE,TRUE,1.03128952444263e-67
"Tnfaip8l2",NA,"LRT_results",FALSE,TRUE,1.12395553670928e-67
"Ccdc163",NA,"LRT_results",FALSE,TRUE,3.12462850368461e-67
"Pstpip2",NA,"LRT_results",FALSE,TRUE,7.4143488742046e-67
"Cd55",NA,"LRT_results",FALSE,TRUE,1.15911441503855e-66
"Gm10545",NA,"LRT_results",FALSE,TRUE,1.19406282559065e-66
"Sik2",NA,"LRT_results",FALSE,TRUE,4.51249571761822e-66
"Gp9",NA,"LRT_results",FALSE,TRUE,5.10283581199814e-66
"Mcm2",NA,"LRT_results",FALSE,TRUE,7.7962943624749e-66
"Zkscan5",NA,"LRT_results",FALSE,TRUE,1.27500381235307e-65
"Bcdin3d",NA,"LRT_results",FALSE,TRUE,3.95005818749586e-65
"Treml2",NA,"LRT_results",FALSE,TRUE,7.65868937142294e-65
"Gm42984",NA,"LRT_results",FALSE,TRUE,1.64454404307472e-64
"Mdh1b",NA,"LRT_results",FALSE,TRUE,5.5202099472735e-64
"Fam177a",NA,"LRT_results",FALSE,TRUE,1.12562009385637e-63
"Gm15535",NA,"LRT_results",FALSE,TRUE,1.32193186969051e-63
"E2f5",NA,"LRT_results",FALSE,TRUE,2.21211211003093e-63
"Inka1",NA,"LRT_results",FALSE,TRUE,2.62654647750561e-63
"Eya2",NA,"LRT_results",FALSE,TRUE,3.28967509716945e-63
"Stt3a",NA,"LRT_results",FALSE,TRUE,3.63280683890054e-63
"B3galt4",NA,"LRT_results",FALSE,TRUE,5.36364434336751e-63
"Casc1",NA,"LRT_results",FALSE,TRUE,8.63381471164992e-63
"Gm19522",NA,"LRT_results",FALSE,TRUE,1.28895844513233e-62
"Ifit3b",NA,"LRT_results",FALSE,TRUE,2.01733993983645e-62
"Flt4",NA,"LRT_results",FALSE,TRUE,2.52870957451145e-62
"Dpyd",NA,"LRT_results",FALSE,TRUE,3.10544379390407e-62
"Rinl",NA,"LRT_results",FALSE,TRUE,3.22531381463323e-62
"AI463170",NA,"LRT_results",FALSE,TRUE,3.35856033015023e-62
"Zfp781",NA,"LRT_results",FALSE,TRUE,4.18069844315497e-62
"Iqcg",NA,"LRT_results",FALSE,TRUE,4.19916849113197e-62
"Gm7467",NA,"LRT_results",FALSE,TRUE,4.39389568583133e-62
"Ropn1l",NA,"LRT_results",FALSE,TRUE,5.09604232698734e-62
"Aplf",NA,"LRT_results",FALSE,TRUE,5.37233687314219e-62
"P2ry6",NA,"LRT_results",FALSE,TRUE,7.76882419323604e-62
"Galnt10",NA,"LRT_results",FALSE,TRUE,1.1194935401647e-61
"Eri1",NA,"LRT_results",FALSE,TRUE,2.41898488304856e-61
"Gm49586",NA,"LRT_results",FALSE,TRUE,2.55568011736091e-61
"Usp40",NA,"LRT_results",FALSE,TRUE,3.48736874995791e-61
"6030407O03Rik",NA,"LRT_results",FALSE,TRUE,3.72427021399004e-61
"Cd79a",NA,"LRT_results",FALSE,TRUE,4.14179066459111e-61
"Sox9",NA,"LRT_results",FALSE,TRUE,5.58091178698452e-61
"Gm26834",NA,"LRT_results",FALSE,TRUE,1.03983779003514e-60
"Col4a4",NA,"LRT_results",FALSE,TRUE,1.54268395431358e-60
"Zfp607a",NA,"LRT_results",FALSE,TRUE,1.6108537322955e-60
"2810049E08Rik",NA,"LRT_results",FALSE,TRUE,1.74853559280217e-60
"Sp110",NA,"LRT_results",FALSE,TRUE,2.08447811403713e-60
"Dact1",NA,"LRT_results",FALSE,TRUE,2.6290391054207e-60
"Prokr2",NA,"LRT_results",FALSE,TRUE,3.48458298060998e-60
"Gm38944",NA,"LRT_results",FALSE,TRUE,5.29709579547591e-60
"Pde4c",NA,"LRT_results",FALSE,TRUE,1.27385792456285e-59
"Gm26737",NA,"LRT_results",FALSE,TRUE,1.84168993718654e-59
"Cep135",NA,"LRT_results",FALSE,TRUE,1.96103091879702e-59
"Cfap65",NA,"LRT_results",FALSE,TRUE,2.11685891425079e-59
"Stc1",NA,"LRT_results",FALSE,TRUE,2.5979488596348e-59
"Fbp1",NA,"LRT_results",FALSE,TRUE,3.6528296850131e-59
"Efemp1",NA,"LRT_results",FALSE,TRUE,5.61358110790928e-59
"Fam228a",NA,"LRT_results",FALSE,TRUE,1.00065935808491e-58
"A930024E05Rik",NA,"LRT_results",FALSE,TRUE,1.53845290670157e-58
"Pcdhga11",NA,"LRT_results",FALSE,TRUE,1.96775272901405e-58
"Ncf1",NA,"LRT_results",FALSE,TRUE,1.97913426037553e-58
"Pigh",NA,"LRT_results",FALSE,TRUE,1.99765068385936e-58
"Plod2",NA,"LRT_results",FALSE,TRUE,2.02304088137197e-58
"A630052C17Rik",NA,"LRT_results",FALSE,TRUE,2.19363421393387e-58
"Gm14410",NA,"LRT_results",FALSE,TRUE,6.92148887962868e-58
"Mxra8",NA,"LRT_results",FALSE,TRUE,7.09195262477295e-58
"Kdr",NA,"LRT_results",FALSE,TRUE,9.81574725303345e-58
"Grem1",NA,"LRT_results",FALSE,TRUE,1.09907399407841e-57
"Mgl2",NA,"LRT_results",FALSE,TRUE,1.14613152342217e-57
"Pakap",NA,"LRT_results",FALSE,TRUE,1.41082951016381e-57
"Strn3",NA,"LRT_results",FALSE,TRUE,2.06825569577245e-57
"Ttc30a1",NA,"LRT_results",FALSE,TRUE,2.27160436885007e-57
"Kcnmb1",NA,"LRT_results",FALSE,TRUE,2.33613549627388e-57
"Dnase1l2",NA,"LRT_results",FALSE,TRUE,3.93414450460524e-57
"Gm43136",NA,"LRT_results",FALSE,TRUE,5.37993134927581e-57
"Angptl2",NA,"LRT_results",FALSE,TRUE,5.78375922998353e-57
"Rad17",NA,"LRT_results",FALSE,TRUE,6.29729879107798e-57
"Adam1a",NA,"LRT_results",FALSE,TRUE,9.6914392132508e-57
"Dhtkd1",NA,"LRT_results",FALSE,TRUE,1.03907628045195e-56
"A330069K06Rik",NA,"LRT_results",FALSE,TRUE,1.48280251994482e-56
"Noxo1",NA,"LRT_results",FALSE,TRUE,2.39766834352257e-56
"Zfp324",NA,"LRT_results",FALSE,TRUE,2.59087902862533e-56
"Fbxw17",NA,"LRT_results",FALSE,TRUE,2.70350138778208e-56
"Sept1",NA,"LRT_results",FALSE,TRUE,6.3044562479117e-56
"C1qtnf7",NA,"LRT_results",FALSE,TRUE,1.114128955565e-55
"Slc6a12",NA,"LRT_results",FALSE,TRUE,1.90451409861678e-55
"Gpsm3",NA,"LRT_results",FALSE,TRUE,2.8122181871813e-55
"Tec",NA,"LRT_results",FALSE,TRUE,2.91306599339699e-55
"Sycp3",NA,"LRT_results",FALSE,TRUE,3.21638674935377e-55
"Ssc5d",NA,"LRT_results",FALSE,TRUE,3.31310787920535e-55
"Lair1",NA,"LRT_results",FALSE,TRUE,3.7501014476528e-55
"AW046200",NA,"LRT_results",FALSE,TRUE,5.6132298790533e-55
"Pde6h",NA,"LRT_results",FALSE,TRUE,6.27205231885798e-55
"4833445I07Rik",NA,"LRT_results",FALSE,TRUE,8.25017387926601e-55
"F8",NA,"LRT_results",FALSE,TRUE,8.47664823135087e-55
"Ggn",NA,"LRT_results",FALSE,TRUE,9.55574699999976e-55
"Fgf18",NA,"LRT_results",FALSE,TRUE,1.96866267621605e-54
"Gm27184",NA,"LRT_results",FALSE,TRUE,2.15913550298518e-54
"Osgin1",NA,"LRT_results",FALSE,TRUE,2.35570981571406e-54
"Lekr1",NA,"LRT_results",FALSE,TRUE,2.97881623801996e-54
"Jchain",NA,"LRT_results",FALSE,TRUE,9.97819914061066e-54
"Gm20559",NA,"LRT_results",FALSE,TRUE,2.2127394081253e-53
"Tex52",NA,"LRT_results",FALSE,TRUE,2.30337852706297e-53
"Hps6",NA,"LRT_results",FALSE,TRUE,2.61982350641609e-53
"Gm29675",NA,"LRT_results",FALSE,TRUE,2.89108845895026e-53
"Sh3pxd2b",NA,"LRT_results",FALSE,TRUE,2.90337005141225e-53
"H2-Q6",NA,"LRT_results",FALSE,TRUE,3.2695668724856e-53
"Zfp873",NA,"LRT_results",FALSE,TRUE,4.39663191317116e-53
"E430018J23Rik",NA,"LRT_results",FALSE,TRUE,4.66754294263813e-53
"Gbp9",NA,"LRT_results",FALSE,TRUE,4.88006095609619e-53
"Cpt1a",NA,"LRT_results",FALSE,TRUE,5.8181192901645e-53
"9330104G04Rik",NA,"LRT_results",FALSE,TRUE,6.47919644591296e-53
"Nudt22",NA,"LRT_results",FALSE,TRUE,7.06696657289702e-53
"BC037032",NA,"LRT_results",FALSE,TRUE,7.44854734799403e-53
"Fmnl2",NA,"LRT_results",FALSE,TRUE,1.07337861772756e-52
"Klhl14",NA,"LRT_results",FALSE,TRUE,1.29907318840821e-52
"Gfy",NA,"LRT_results",FALSE,TRUE,2.00917658337585e-52
"Cyp1b1",NA,"LRT_results",FALSE,TRUE,2.05354471940781e-52
"Gas2",NA,"LRT_results",FALSE,TRUE,2.83880780091342e-52
"Dusp9",NA,"LRT_results",FALSE,TRUE,4.10265193874908e-52
"Gm31479",NA,"LRT_results",FALSE,TRUE,4.53143046741031e-52
"Slc39a11",NA,"LRT_results",FALSE,TRUE,6.90361854595503e-52
"Tmem220",NA,"LRT_results",FALSE,TRUE,7.19708943636887e-52
"Hemk1",NA,"LRT_results",FALSE,TRUE,1.1188254324802e-51
"Thpo",NA,"LRT_results",FALSE,TRUE,1.65391679290318e-51
"Elp4",NA,"LRT_results",FALSE,TRUE,2.13650051560517e-51
"Dlgap5",NA,"LRT_results",FALSE,TRUE,5.06041857429583e-51
"Slc26a2",NA,"LRT_results",FALSE,TRUE,5.12269683005454e-51
"Gm13594",NA,"LRT_results",FALSE,TRUE,5.4631303065527e-51
"Hcar1",NA,"LRT_results",FALSE,TRUE,6.60869593782307e-51
"Spag1",NA,"LRT_results",FALSE,TRUE,1.26858750101298e-50
"Sp6",NA,"LRT_results",FALSE,TRUE,2.1172029809204e-50
"Gm14703",NA,"LRT_results",FALSE,TRUE,2.2314810385617e-50
"Hmcn2",NA,"LRT_results",FALSE,TRUE,2.39181620232114e-50
"Gm28913",NA,"LRT_results",FALSE,TRUE,3.08406595024713e-50
"Gm15201",NA,"LRT_results",FALSE,TRUE,3.37412309945999e-50
"Sbno2",NA,"LRT_results",FALSE,TRUE,4.10823281007449e-50
"Gm45509",NA,"LRT_results",FALSE,TRUE,4.65338856837499e-50
